Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
NE,16.834,14.933,101.58,15.0,0.0,9.19
CF,9.718,21.913,76.02,84.0,31.0,5.95
CF,9.933,21.975,76.02,84.0,31.0,5.95
CF,9.294,21.985,76.02,84.0,31.0,5.95
CF,7.775,22.89,69.72,94.0,100.0,4.05
CF,7.321,22.978,69.72,94.0,100.0,4.05
CF,7.607,22.099,69.72,94.0,100.0,4.05
CF,7.844,22.119,69.72,94.0,100.0,4.05
CF,7.462,22.26,69.72,94.0,100.0,4.05
CF,7.591,22.207,69.72,94.0,100.0,4.05
CF,7.813,22.704,69.72,94.0,100.0,4.05
CF,7.752,22.003,69.72,94.0,100.0,4.05
TD,12.594,21.772,72.6,78.0,61.0,15.95
TD,12.815,21.986,72.6,78.0,61.0,15.95
TD,12.039,21.571,72.6,78.0,61.0,15.95
TD,12.227,21.664,72.6,78.0,61.0,15.95
TD,12.511,21.382,72.6,78.0,61.0,15.95
NE,17.848,14.987,101.58,15.0,0.0,9.19
NE,17.974,14.636,101.58,15.0,0.0,9.19
CF,8.207,24.005,69.72,94.0,100.0,4.05
TD,13.141,19.825,87.0,51.0,33.0,8.32
TD,13.077,19.31,87.0,51.0,33.0,8.32
TD,10.175,15.894,79.62,77.0,61.0,7.18
TD,10.104,15.705,79.62,77.0,61.0,7.18
TD,8.657,16.5,74.22,91.0,75.0,3.8
TD,15.416,21.142,87.9,46.0,44.0,14.0
TD,11.846,17.693,84.48,59.0,97.0,5.21
TD,11.424,17.462,84.48,59.0,97.0,5.21
TD,11.658,17.286,84.48,59.0,97.0,5.21
TD,11.538,17.175,84.48,59.0,97.0,5.21
CF,8.72,23.723,69.72,94.0,100.0,4.05
TD,15.278,16.665,84.84,60.0,46.0,7.99
SD,17.359,24.081,83.04,37.0,74.0,4.72
SD,17.203,24.068,83.04,37.0,74.0,4.72
CF,11.633,22.331,76.02,84.0,31.0,5.95
CF,11.732,22.783,76.02,84.0,31.0,5.95
CF,11.49,22.437,76.02,84.0,31.0,5.95
CF,11.483,22.421,76.02,84.0,31.0,5.95
TD,8.552,18.087,74.94,94.0,84.0,3.31
CF,11.707,22.447,76.02,84.0,31.0,5.95
CF,11.048,22.553,76.02,84.0,31.0,5.95
CF,11.545,22.916,76.02,84.0,31.0,5.95
CF,11.358,22.852,76.02,84.0,31.0,5.95
CF,11.05,22.101,76.02,84.0,31.0,5.95
TD,8.473,18.277,74.94,94.0,84.0,3.31
CM,12.699,14.292,93.2,52.0,40.0,6.93
CM,12.118,14.908,93.2,52.0,40.0,6.93
CM,12.238,14.335,93.2,52.0,40.0,6.93
TD,10.32,19.715,76.38,89.0,57.0,3.71
CM,12.9,14.362,93.2,52.0,40.0,6.93
CM,12.508,14.294,93.2,52.0,40.0,6.93
CM,12.643,14.827,93.2,52.0,40.0,6.93
TD,10.959,19.853,76.38,89.0,57.0,3.71
CM,11.812,14.875,93.2,52.0,40.0,6.93
TD,9.237,18.748,74.22,88.0,96.0,2.28
TD,9.739,18.852,74.22,88.0,96.0,2.28
TD,9.973,18.512,74.22,88.0,96.0,2.28
CF,10.225,23.182,76.02,84.0,31.0,5.95
CF,10.091,22.091,76.02,84.0,31.0,5.95
CF,10.938,22.253,76.02,84.0,31.0,5.95
TD,16.452,14.955,91.86,40.0,76.0,7.14
TD,16.457,14.519,91.86,40.0,76.0,7.14
TD,8.847,17.605,74.4,90.0,98.0,2.46
NE,19.154,16.086,101.58,15.0,0.0,9.19
NE,19.215,16.059,101.58,15.0,0.0,9.19
CM,7.705,14.554,76.02,87.0,2.0,2.91
CF,10.422,24.002,76.02,84.0,31.0,5.95
TD,15.684,17.715,84.84,60.0,46.0,7.99
TD,15.412,17.154,84.84,60.0,46.0,7.99
TD,8.885,15.743,78.18,80.0,54.0,5.99
TD,15.642,17.163,84.84,60.0,46.0,7.99
TD,15.778,20.281,87.9,46.0,44.0,14.0
TD,15.393,20.171,87.9,46.0,44.0,14.0
TD,15.678,20.337,87.9,46.0,44.0,14.0
CF,7.891,18.513,73.68,93.0,93.0,2.33
CF,7.836,18.722,73.68,93.0,93.0,2.33
NE,19.078,14.748,101.58,15.0,0.0,9.19
NE,19.679,14.797,101.58,15.0,0.0,9.19
TD,17.015,16.162,91.86,40.0,76.0,7.14
NE,19.12,14.903,101.58,15.0,0.0,9.19
NE,19.34,14.433,101.58,15.0,0.0,9.19
NE,20.769,14.696,101.58,15.0,0.0,9.19
NE,20.242,14.429,101.58,15.0,0.0,9.19
TD,13.616,21.111,87.9,48.0,52.0,6.49
TD,13.388,21.016,87.9,48.0,52.0,6.49
CF,7.508,16.416,70.98,92.0,70.0,2.48
TD,13.477,21.382,87.9,48.0,52.0,6.49
TD,12.428,18.429,80.16,77.0,96.0,3.11
TD,12.654,18.792,80.16,77.0,96.0,3.11
CF,7.784,23.924,69.72,94.0,100.0,4.05
CF,7.368,23.897,69.72,94.0,100.0,4.05
CF,7.561,23.112,69.72,94.0,100.0,4.05
TD,13.205,17.282,84.12,66.0,57.0,1.72
NE,21.149,14.375,101.58,15.0,0.0,9.19
NE,21.13,14.351,101.58,15.0,0.0,9.19
NE,21.927,14.647,101.58,15.0,0.0,9.19
NE,21.343,14.981,101.58,15.0,0.0,9.19
NE,21.09,14.37,101.58,15.0,0.0,9.19
TD,15.377,18.573,89.88,44.0,1.0,7.92
TD,15.32,18.487,89.88,44.0,1.0,7.92
TD,15.118,18.018,89.88,44.0,1.0,7.92
TD,8.539,19.19,74.22,88.0,96.0,2.28
TD,8.956,19.058,74.22,88.0,96.0,2.28
NE,17.266,15.691,101.58,15.0,0.0,9.19
NE,17.503,15.378,101.58,15.0,0.0,9.19
NE,17.095,15.389,101.58,15.0,0.0,9.19
TD,12.521,18.027,79.44,75.0,58.0,1.63
TD,12.082,18.443,79.44,75.0,58.0,1.63
TD,14.604,18.117,89.88,44.0,1.0,7.92
TD,14.448,18.336,89.88,44.0,1.0,7.92
TD,8.893,17.04,74.22,91.0,75.0,3.8
CF,8.627,21.233,72.96,94.0,99.0,2.95
CF,8.691,21.18,72.96,94.0,99.0,2.95
TD,10.025,18.065,84.2,74.0,20.0,6.93
TD,15.18,16.416,91.86,40.0,76.0,7.14
TD,15.478,16.486,91.86,40.0,76.0,7.14
TD,15.587,16.15,91.86,40.0,76.0,7.14
TD,8.181,17.522,74.94,94.0,84.0,3.31
TD,8.157,17.442,74.94,94.0,84.0,3.31
TD,8.636,17.773,74.94,94.0,84.0,3.31
TD,8.088,17.922,74.94,94.0,84.0,3.31
TD,8.419,17.45,74.94,94.0,84.0,3.31
NE,22.042,14.648,101.58,15.0,0.0,9.19
TD,8.438,18.42,74.94,94.0,84.0,3.31
TD,10.074,20.793,76.38,89.0,57.0,3.71
TD,10.453,20.226,76.38,89.0,57.0,3.71
TD,13.707,18.474,89.88,44.0,1.0,7.92
TD,13.652,18.173,89.88,44.0,1.0,7.92
TD,12.959,20.341,87.0,51.0,33.0,8.32
TD,15.201,22.564,72.6,78.0,61.0,15.95
TD,9.847,19.799,74.22,88.0,96.0,2.28
TD,9.241,19.586,74.22,88.0,96.0,2.28
TD,9.318,19.159,74.22,88.0,96.0,2.28
TD,9.863,19.966,74.22,88.0,96.0,2.28
TD,15.257,15.24,91.86,40.0,76.0,7.14
SD,13.14,24.113,83.04,37.0,74.0,4.72
SD,13.319,24.047,83.04,37.0,74.0,4.72
TD,14.807,22.491,72.6,78.0,61.0,15.95
TD,14.792,22.941,72.6,78.0,61.0,15.95
TD,14.603,22.296,72.6,78.0,61.0,15.95
TD,14.804,22.559,72.6,78.0,61.0,15.95
TD,14.949,22.766,72.6,78.0,61.0,15.95
TD,14.43,22.884,72.6,78.0,61.0,15.95
CF,7.427,19.691,73.68,93.0,93.0,2.33
NE,19.925,15.406,101.58,15.0,0.0,9.19
CF,7.634,19.667,73.68,93.0,93.0,2.33
NE,19.528,15.845,101.58,15.0,0.0,9.19
CF,7.362,19.073,73.68,93.0,93.0,2.33
NE,19.114,15.731,101.58,15.0,0.0,9.19
NE,19.65,15.383,101.58,15.0,0.0,9.19
TD,15.218,19.188,87.9,46.0,44.0,14.0
TD,13.535,23.306,72.6,78.0,61.0,15.95
TD,13.097,23.273,72.6,78.0,61.0,15.95
TD,13.157,23.517,72.6,78.0,61.0,15.95
TD,17.124,15.549,91.86,40.0,76.0,7.14
TD,12.511,19.363,80.16,77.0,96.0,3.11
TD,12.512,19.177,80.16,77.0,96.0,3.11
TD,13.099,14.808,93.2,52.0,40.0,6.93
TD,13.105,14.712,93.2,52.0,40.0,6.93
CF,8.154,18.475,73.68,93.0,93.0,2.33
CF,9.487,23.051,76.02,84.0,31.0,5.95
CF,9.033,23.593,76.02,84.0,31.0,5.95
CF,9.191,23.504,76.02,84.0,31.0,5.95
CF,8.272,18.865,73.68,93.0,93.0,2.33
CF,9.745,23.964,76.02,84.0,31.0,5.95
TD,14.985,21.221,87.9,46.0,44.0,14.0
TD,14.777,21.761,87.9,46.0,44.0,14.0
TD,14.208,21.455,87.9,46.0,44.0,14.0
TD,14.473,15.522,91.86,40.0,76.0,7.14
TD,14.626,15.802,91.86,40.0,76.0,7.14
TD,14.647,15.486,91.86,40.0,76.0,7.14
TD,14.391,15.741,91.86,40.0,76.0,7.14
SD,14.732,23.66,83.04,37.0,74.0,4.72
SD,14.858,23.659,83.04,37.0,74.0,4.72
SD,14.384,23.87,83.04,37.0,74.0,4.72
TD,8.249,16.409,74.58,90.0,86.0,1.52
TD,8.626,16.092,74.58,90.0,86.0,1.52
NE,21.948,15.838,101.58,15.0,0.0,9.19
NE,21.881,15.364,101.58,15.0,0.0,9.19
TD,8.208,16.044,74.58,90.0,86.0,1.52
SD,14.525,23.714,83.04,37.0,74.0,4.72
NE,21.755,15.067,101.58,15.0,0.0,9.19
NE,21.448,15.668,101.58,15.0,0.0,9.19
NE,21.18,15.046,101.58,15.0,0.0,9.19
TD,8.949,18.923,74.22,88.0,96.0,2.28
TD,13.27,15.051,84.3,60.0,20.0,6.91
SD,16.012,24.067,83.04,37.0,74.0,4.72
CM,7.356,14.503,68.28,94.0,50.0,2.46
CF,8.115,20.19,72.96,94.0,99.0,2.95
