Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,29.559,-81.327,78.39,83.0,75.0,10.29
US,47.507,-105.011,83.26,28.0,75.0,9.17
US,47.296,-125.005,66.25,72.0,90.0,14.99
US,26.298,-82.714,85.12,20.0,40.0,12.75
US,38.813,-89.485,67.39,64.0,90.0,5.82
US,44.417,-121.587,68.16,60.0,90.0,9.17
US,36.181,-102.451,96.17,19.0,1.0,21.92
US,45.14,-100.526,83.35,35.0,1.0,3.36
US,29.114,-95.646,88.05,66.0,1.0,10.29
US,41.056,-74.187,75.42,65.0,20.0,3.36
US,39.956,-121.348,98.78,18.0,5.0,6.93
US,26.981,-91.289,88.36,47.0,1.0,10.29
US,37.372,-114.77,105.89,4.0,1.0,5.82
US,38.57,-71.589,72.75,83.0,40.0,8.05
US,46.411,-111.242,75.33,19.0,1.0,16.11
US,40.031,-68.878,68.7,83.0,90.0,4.7
US,41.941,-70.395,80.08,61.0,75.0,6.93
US,24.478,-126.136,70.56,77.0,1.0,13.87
US,39.497,-103.63,81.14,32.0,1.0,9.17
US,38.282,-101.072,74.61,94.0,75.0,9.17
US,38.597,-124.218,94.19,19.0,1.0,10.29
US,43.056,-96.369,78.42,54.0,1.0,6.93
US,47.24,-114.422,73.92,33.0,90.0,16.11
US,42.08,-121.147,83.82,70.0,1.0,18.34
US,34.598,-114.448,107.71,4.0,1.0,13.87
US,26.815,-93.379,78.04,69.0,90.0,13.87
US,37.539,-95.121,82.96,70.0,1.0,18.34
US,37.371,-97.316,88.81,66.0,1.0,16.11
US,26.297,-86.032,76.6,88.0,20.0,12.75
US,29.349,-85.527,78.66,50.0,1.0,5.82
US,35.29,-82.163,83.41,51.0,40.0,4.7
US,39.511,-113.64,89.6,17.0,1.0,9.17
US,48.444,-95.936,80.47,54.0,1.0,9.17
US,37.702,-111.876,89.85,5.0,1.0,5.82
US,35.592,-107.782,86.0,12.0,1.0,11.41
US,36.621,-92.445,85.41,14.0,1.0,13.87
US,33.348,-85.05,86.77,48.0,1.0,4.45
US,39.38,-88.203,80.47,48.0,20.0,1.03
US,42.167,-77.729,71.71,82.0,90.0,16.11
US,30.572,-77.433,82.06,83.0,20.0,8.05
US,39.029,-107.598,80.01,14.0,1.0,16.11
US,33.747,-96.409,94.93,44.0,1.0,12.75
US,34.749,-122.262,72.32,88.0,90.0,5.82
US,43.167,-67.917,61.54,93.0,1.0,4.7
US,28.637,-94.835,77.99,61.0,1.0,6.93
US,30.822,-76.475,78.39,83.0,20.0,11.41
US,45.695,-92.636,76.86,60.0,1.0,4.7
US,34.207,-94.133,93.74,55.0,1.0,4.56
US,46.679,-116.239,77.72,26.0,1.0,9.17
US,33.609,-99.736,72.39,69.0,40.0,10.29
US,27.832,-81.237,77.79,83.0,1.0,9.17
US,37.942,-123.773,86.22,42.0,1.0,8.05
US,31.906,-84.536,79.02,74.0,1.0,11.41
US,45.525,-121.763,73.87,49.0,40.0,10.29
US,43.756,-72.078,72.61,69.0,40.0,10.29
US,28.564,-99.136,87.53,18.0,1.0,13.87
US,36.318,-76.679,79.57,78.0,1.0,3.76
US,42.353,-97.901,79.68,88.0,75.0,4.7
US,35.57,-115.965,103.17,3.0,1.0,8.05
US,45.402,-120.098,80.78,65.0,1.0,10.29
US,41.34,-105.174,74.23,34.0,20.0,20.8
