Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,32.825,-98.905,66.72,72.0,90.0,4.7
US,26.437,-88.388,93.15,41.0,20.0,11.41
US,37.034,-102.27,91.62,58.0,1.0,5.82
US,36.973,-80.095,74.82,100.0,75.0,0.87
US,40.834,-106.448,66.92,55.0,75.0,12.75
US,39.317,-109.581,84.2,15.0,5.0,13.87
US,42.184,-100.322,74.7,73.0,1.0,9.17
US,47.216,-99.129,68.59,94.0,90.0,9.17
US,47.009,-68.048,60.93,82.0,90.0,2.19
US,43.499,-86.219,73.36,64.0,75.0,5.82
US,39.496,-119.74,86.56,13.0,1.0,6.93
US,38.426,-115.346,77.34,78.0,1.0,2.64
US,37.003,-98.339,92.97,46.0,1.0,18.34
US,45.925,-114.67,75.69,26.0,1.0,8.05
US,35.936,-99.513,96.21,32.0,1.0,17.22
US,34.294,-120.627,69.19,77.0,1.0,12.75
US,37.554,-107.907,81.19,13.0,1.0,10.29
US,28.445,-81.646,78.15,78.0,40.0,6.93
US,47.701,-119.233,83.19,23.0,1.0,10.29
US,33.489,-104.874,95.18,33.0,1.0,12.75
US,41.457,-123.988,66.06,63.0,1.0,17.22
US,35.056,-119.228,86.07,66.0,40.0,17.22
US,27.55,-98.519,88.5,55.0,1.0,18.34
US,47.004,-87.622,62.46,93.0,82.0,4.7
US,33.6,-70.82,77.88,83.0,1.0,4.7
US,37.454,-120.529,99.77,13.0,1.0,8.05
US,37.863,-71.596,71.6,88.0,40.0,8.05
US,32.734,-93.616,89.44,58.0,1.0,5.82
US,44.041,-84.402,94.42,22.0,1.0,10.29
US,36.757,-95.729,85.32,74.0,1.0,6.93
US,31.266,-97.527,94.15,46.0,1.0,12.75
US,39.488,-75.072,75.51,29.0,1.0,11.41
US,31.417,-99.312,94.86,23.0,1.0,9.17
US,41.167,-114.294,89.6,17.0,1.0,5.82
US,45.946,-98.562,65.88,63.0,75.0,8.05
US,44.625,-126.116,68.76,94.0,90.0,9.17
US,39.153,-120.685,98.6,26.0,1.0,6.93
US,42.268,-99.003,73.89,88.0,1.0,5.82
US,31.88,-118.607,84.54,40.0,1.0,6.93
US,46.377,-120.759,79.57,23.0,1.0,23.04
US,37.999,-109.667,83.01,13.0,1.0,9.17
US,30.767,-92.588,84.99,83.0,1.0,4.05
US,37.903,-92.738,68.94,83.0,75.0,4.7
US,35.158,-94.497,88.48,41.0,1.0,4.7
US,30.186,-84.436,79.95,78.0,20.0,3.36
US,36.863,-96.523,87.78,62.0,1.0,17.22
US,48.008,-115.109,70.38,33.0,90.0,13.87
US,38.216,-78.35,75.65,83.0,1.0,2.37
US,40.345,-105.147,76.53,36.0,1.0,14.99
US,32.032,-86.102,68.97,88.0,40.0,2.89
US,28.007,-80.367,79.34,100.0,75.0,10.29
US,33.833,-118.026,87.35,62.0,40.0,5.82
US,34.786,-107.15,89.44,11.0,40.0,6.93
US,32.44,-104.296,72.59,73.0,20.0,8.05
US,43.657,-103.733,75.85,44.0,20.0,1.03
US,46.906,-109.502,76.95,78.0,75.0,3.36
US,42.52,-73.876,68.99,88.0,40.0,2.89
US,35.957,-113.58,103.73,5.0,1.0,16.11
US,41.35,-78.205,67.06,77.0,75.0,4.29
US,37.5,-121.895,84.04,61.0,1.0,11.41
US,46.247,-113.469,69.73,26.0,20.0,12.75
US,34.177,-76.917,77.05,94.0,75.0,3.36
US,41.477,-81.838,70.99,69.0,40.0,4.7
US,42.025,-118.186,89.11,13.0,1.0,9.17
US,44.282,-83.419,67.12,82.0,75.0,4.7
US,33.951,-76.11,76.89,83.0,75.0,4.7
US,43.098,-117.161,85.15,15.0,1.0,9.17
US,32.596,-101.979,84.45,61.0,75.0,12.75
US,28.483,-99.216,94.57,28.0,1.0,4.7
US,46.285,-104.827,80.13,33.0,40.0,11.41
US,31.993,-84.816,81.5,83.0,1.0,4.05
US,46.293,-111.377,73.42,35.0,1.0,9.17
US,29.273,-80.501,79.2,78.0,40.0,5.82
US,47.918,-116.596,76.62,29.0,75.0,6.93
US,37.936,-112.66,87.93,6.0,1.0,16.11
US,43.229,-92.796,71.2,73.0,1.0,7.58
US,41.366,-121.452,82.54,83.0,1.0,8.01
US,38.777,-105.222,87.8,10.0,1.0,13.87
US,43.939,-93.567,71.53,78.0,1.0,3.36
US,47.756,-101.682,78.01,36.0,40.0,5.82
US,40.668,-122.896,98.53,13.0,1.0,8.05
US,27.823,-84.12,77.04,83.0,75.0,4.7
US,37.903,-125.63,87.22,20.0,1.0,16.11
US,33.302,-117.794,74.07,73.0,1.0,9.17
US,35.865,-117.807,101.61,4.0,1.0,16.11
US,34.152,-123.989,67.6,68.0,20.0,14.99
US,38.167,-93.007,76.32,78.0,1.0,5.26
US,46.644,-101.918,77.65,47.0,40.0,5.82
US,42.133,-75.969,70.93,78.0,1.0,4.61
US,34.554,-101.924,92.73,19.0,1.0,16.11
US,45.776,-91.089,70.99,68.0,1.0,3.36
US,44.867,-95.163,74.1,64.0,1.0,4.7
US,36.798,-118.856,102.07,25.0,0.0,6.51
US,47.578,-113.229,70.84,33.0,90.0,13.87
US,41.748,-88.057,77.85,78.0,90.0,11.41
US,44.178,-120.323,67.87,60.0,75.0,10.29
US,38.211,-65.664,67.57,93.0,90.0,6.93
US,34.764,-108.385,84.2,12.0,1.0,12.75
US,33.324,-91.736,86.41,8.0,62.0,12.75
US,43.741,-67.781,59.83,93.0,1.0,4.7
US,38.961,-90.664,82.6,74.0,1.0,1.72
US,33.323,-87.826,85.98,35.0,1.0,4.7
US,40.459,-107.426,70.36,27.0,75.0,17.22
US,48.491,-116.297,73.35,46.0,75.0,7.31
US,44.017,-110.465,81.07,83.0,1.0,4.7
US,42.668,-69.901,77.7,78.0,1.0,1.63
US,37.34,-75.917,78.15,100.0,1.0,7.87
